County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Perkins,ne,28775,26023,26889,27299,43571,47083,35513,28348,42639,31333,51458,56250,23409,3409,16875,25825,26875,43750
Phelps,ne,30786,26806,23681,31818,39810,43077,39102,25278,32621,39539,49219,49632,23057,36125,19722,22580,35658,39688
Pierce,ne,31481,30000,28994,28798,41076,47411,39959,38750,34483,40513,47434,54583,21939,6250,20410,20810,33125,41250
Platte,ne,31964,21809,27793,32800,44193,53333,39180,22309,34201,42532,54830,63472,25137,17969,20684,25400,31893,50733
Polk,ne,31764,27813,29539,31635,36500,50655,42188,28884,40221,47097,41696,58000,23391,12000,17829,23875,29444,50417
Red Willow,ne,30769,15724,22321,27715,39304,44841,37273,16528,36437,33750,41610,66250,22081,15000,16875,22308,35658,42841
Richardson,ne,28817,15556,27520,31335,30313,35000,35959,17292,31149,41970,42865,34286,20502,9784,18309,22167,25197,36111
Rock,ne,27278,16667,20313,25795,39250,51250,33482,42500,25000,31324,39453,208214,21375,13750,16607,20714,38438,43750
Saline,ne,30438,22049,28399,31582,34180,49063,34464,22194,33766,36852,35714,51048,26226,17396,20394,27110,32281,45083
Sarpy,ne,40380,20483,29931,36630,49886,66569,49168,26928,39711,43408,61702,85649,31486,15012,24755,29739,40281,53375
Saunders,ne,37209,23143,31599,36263,46815,56250,45771,26351,41517,46092,55938,68125,27241,9904,22328,27042,37625,49276
Scotts Bluff,ne,27269,19308,24083,27799,37693,56150,34462,24804,27933,36557,41742,63458,22342,12843,18419,22907,31107,44167
Seward,ne,38215,21635,29715,37418,44292,55373,48532,35227,40070,49481,59474,61719,27634,11506,21850,24260,32455,53433
Sheridan,ne,25126,20189,25051,23073,30000,63897,29628,17321,27101,30338,30491,79375,21933,21417,19211,15302,28472,58036
Sherman,ne,29441,16667,27000,30417,37375,47250,37031,19375,35147,40536,53147,46750,21582,10000,15862,26538,34167,48571
Sioux,ne,31276,26667,24931,27130,40179,45750,32336,30250,30217,27279,74125,41250,26103,16806,23906,26875,16364,47250
Stanton,ne,30568,16211,25717,31508,40676,56250,38941,15000,30240,42224,41838,53750,21745,16435,18906,20594,35833,57308
Thayer,ne,27527,13750,24932,30273,27875,48125,35469,22083,30694,39125,49519,37813,19712,10926,18929,22917,18529,49732
Thomas,ne,31959,2499,30750,31607,34063,49375,38750,NA,36000,39219,40625,NA,24643,2499,23125,21964,21667,42188
Thurston,ne,29207,15625,26056,29549,39500,54000,33685,20658,31346,32317,59750,57500,24133,8917,18750,26174,35368,47500
Valley,ne,30296,11771,25603,29766,43264,42500,36444,11875,34583,35417,50208,50938,19630,9792,15375,16466,29519,41250
Washington,ne,39486,22500,31291,39222,45389,62132,47517,31534,39643,50564,63272,78229,32465,14688,22432,33160,37664,53850
Wayne,ne,32161,19250,27354,32253,35152,42127,36014,26853,30282,37604,37356,53750,28955,2499,22306,28082,29250,41004
Webster,ne,26279,18148,22452,25776,37708,49583,31025,18958,27474,33250,33125,70536,19123,15750,15000,17326,38438,46750
Wheeler,ne,28990,135000,32143,23750,41136,55313,36500,NA,39338,26103,41875,61250,19141,135000,10250,18393,40972,45625
York,ne,29258,16345,25741,28805,36978,51500,38534,17073,34889,37723,49545,52917,23144,3643,19315,22398,27586,48625
Churchill,nv,34457,29535,28603,35171,50825,72083,41823,29904,33780,43081,70054,86765,28698,23083,26117,27568,30082,61055
Clark,nv,34143,24738,30270,36140,46109,63280,38361,26808,32428,41601,53261,74082,30770,21464,26856,31512,40792,55330
Douglas,nv,36556,25953,30515,33994,51136,68162,43530,30938,37348,41214,67821,96979,28685,15682,24480,26492,42736,63384
Elko,nv,41212,25689,40752,40179,60027,67212,56219,39840,56229,56181,68483,101000,25944,19319,21681,27566,44484,55341
Esmeralda,nv,26364,25625,24583,26406,39107,NA,31518,26339,26250,43203,128594,NA,10417,NA,24583,3438,13125,NA
Eureka,nv,45135,34886,51477,39038,41806,60417,63304,35962,65208,51583,66625,82692,38173,NA,40962,25341,36250,48839
Humboldt,nv,41420,32446,31533,44457,51159,70417,58003,33218,55509,62574,65861,76955,25578,22727,20833,25972,45833,56000
Lander,nv,54298,46250,60125,47987,86895,66176,63056,60169,62083,74777,160556,58583,31016,25259,37375,16935,53594,67426
Lincoln,nv,34787,17742,24611,35192,43438,60313,44234,51681,30865,46500,42857,73482,20560,12708,17684,23603,50577,54375
Lyon,nv,32069,19149,28440,32610,41056,71976,38212,23250,34178,40192,41231,81201,25914,11151,24141,25457,40965,46875
Mineral,nv,37295,30333,36667,33542,50679,61806,48399,31146,48939,48929,51214,41538,27857,25313,21250,28125,46685,65329
Nye,nv,25915,22809,22235,25809,41443,64777,32365,26323,32298,37852,42619,78674,18626,14496,14980,18948,41305,63036
Pershing,nv,31186,13542,31717,29773,59205,64821,40261,15250,40341,49583,68214,11563,23880,9432,18214,27642,18750,68167
Storey,nv,38426,30625,31793,37205,41744,105673,37464,27344,43750,45946,31484,113500,38694,43214,24153,36360,42500,68566
Washoe,nv,33914,21489,27917,34036,45329,64929,39038,24463,31005,40596,53730,82267,29885,17339,25417,29841,39379,56396
White Pine,nv,39375,25966,39153,36369,45755,47014,51122,43750,51509,52409,45000,76111,25328,19306,18214,24792,48036,30938
Carson City,nv,32957,17114,28900,33686,51046,71071,35677,19962,31016,36294,53911,94479,30529,14957,26848,31897,44955,52125
Belknap,nh,36356,25659,31106,36466,42753,62023,43274,31250,36670,44723,56130,64591,31078,20976,27280,31293,37189,52428
Carroll,nh,31341,24069,26860,29504,39655,44283,36499,27298,32686,36250,51171,44402,26123,18598,20070,25747,32285,44056
Cheshire,nh,34544,25467,31798,32323,40726,54545,42352,27628,35691,43864,52543,62872,29103,18983,25962,26903,32767,44189
Coos,nh,29468,14503,25774,30415,38988,52127,36060,18917,32102,40992,48698,68750,24083,12332,19587,25175,33922,46058
Grafton,nh,35896,24805,28050,32735,44045,63479,41268,26792,32302,40712,54840,79428,30352,17778,23674,26168,39266,54275
Hillsborough,nh,43210,25521,34064,39549,53547,74408,52962,30363,40839,49194,68824,101746,35077,17938,27341,31976,42832,55733
Merrimack,nh,40281,26135,32173,37390,48519,61318,47103,28782,39228,45854,58233,70493,33943,19612,25929,31457,40214,54914
Rockingham,nh,44911,26667,35209,40523,58282,69351,56732,32242,44117,52652,75798,94851,34252,19337,24661,30645,42255,57616
Strafford,nh,37061,25434,29888,36207,51321,56182,45816,30616,35603,46805,63706,66967,31090,17126,24068,30233,40438,49607
Sullivan,nh,35584,26882,31966,36145,44892,53031,41019,29591,35971,44610,59875,73529,30271,17262,24740,31048,34558,42870
Atlantic,nj,34467,22967,29907,35075,47329,72924,40009,26275,35471,41134,53136,84925,30612,20402,25151,30859,43485,62113
Bergen,nj,51984,24863,35039,43710,61575,85598,61824,29754,43058,52288,74523,104036,42663,17219,28324,37150,52061,68897
Burlington,nj,48475,24746,35991,43995,63165,83733,56337,27635,43685,51954,75221,100993,39966,19952,28397,36823,52878,69202
Camden,nj,41720,22823,32560,40172,55143,75734,50193,27623,41107,49393,64719,91982,34191,17801,25954,32986,49450,62498
Cape May,nj,37601,22012,31194,36921,50386,69329,45293,24939,41820,48047,57901,76803,31072,16339,24513,31123,44382,65870
Cumberland,nj,33261,20523,31374,36230,51519,66486,38559,22929,37998,47535,52200,79468,30038,17441,26497,30243,50966,63404
Essex,nj,40566,21627,30633,36918,58006,83266,44655,26012,33020,42388,67668,105548,36303,17279,26853,32770,52917,66862
Gloucester,nj,47540,25912,36610,45629,61783,73840,56063,32922,47333,56596,75726,86994,38451,18143,26746,35882,52711,65476
Hudson,nj,41728,21792,30173,35909,58657,77012,46614,26419,35191,40684,64628,85554,36245,16483,23391,31116,53829,68250
Hunterdon,nj,58615,22482,38914,49448,69236,100579,74853,24594,50901,59270,89806,119717,46060,17031,27658,38267,51893,78239
Mercer,nj,46302,20663,31685,41883,63645,86056,53284,23247,35367,47680,76803,106256,40468,17455,28364,37685,52039,69984
Middlesex,nj,49867,22264,35964,44745,62988,83616,58460,26328,43440,53032,76501,96681,40742,17702,29559,37764,51351,69331
Monmouth,nj,51571,21717,33889,44704,65906,87701,65229,25391,45451,58113,87551,111272,39109,17175,25832,34774,49447,65346
Morris,nj,55651,25259,37546,47301,66111,94788,71413,28712,45064,57544,87329,119972,44307,20590,29090,38036,51810,72288
Ocean,nj,42178,21922,34001,41596,54748,68611,52345,28514,46621,52825,66529,82065,32096,15865,25270,31654,48624,59399
Passaic,nj,37531,21003,30551,39663,54504,73812,43615,24563,35848,47621,63999,90708,31757,17320,25305,32963,48618,65600
Salem,nj,40731,23906,34656,39391,55694,73879,50258,28648,44957,52677,67432,83734,30540,18125,23137,30228,50991,65104
Somerset,nj,57189,23230,35272,46139,70253,97201,69075,26946,41384,52898,86919,116694,48208,18367,28997,42067,55307,77461
Sussex,nj,49660,31284,37469,45964,62255,83340,61967,40594,49882,59643,85584,101478,36081,23769,26506,34916,48308,71870
Union,nj,41931,21862,30393,40112,60738,84854,48553,24544,35147,47437,73504,105464,35765,17791,25304,34393,52180,70452
Warren,nj,46633,24375,38895,43139,59412,85357,56269,29432,49174,56633,74750,95907,35764,20280,27212,33455,50489,69036
Bernalillo,nm,33286,18548,26407,31219,44161,59605,38133,21409,30531,35672,52463,75854,30009,14492,22147,27879,38764,51395
Catron,nm,24633,22738,23310,25318,31957,31900,31995,52569,26339,32656,53750,31750,19871,22679,15300,21835,13625,45288
Chaves,nm,26333,20314,23612,25040,43116,47411,31764,25638,27891,33340,46044,52760,21009,12682,18557,20615,41524,44279
Cibola,nm,25253,14083,21879,26744,41480,49728,30524,17518,27560,35436,40347,60500,22078,12188,19573,23088,42500,48098
Colfax,nm,25622,19201,21688,25466,35523,42567,31967,21731,29663,31354,56813,46063,18635,10250,18295,20335,16875,38250
Curry,nm,29605,17850,26292,28262,43966,49336,37041,27291,30817,40061,60750,60375,21188,11728,16967,20466,30531,46557
De Baca,nm,29333,11761,24750,29583,41458,74630,31010,15625,24750,34625,20000,74327,26406,6964,22500,22083,45682,74911
Dona Ana,nm,25370,14865,21066,25482,41442,52662,29168,17551,25881,31743,46906,60580,21401,11881,16609,21829,37991,47496
Eddy,nm,34877,23075,27946,36576,58000,60706,48618,31827,43558,53290,72910,81139,24018,14604,19702,24405,42581,53620
Grant,nm,26712,12892,21516,25465,34851,53089,32480,16250,27011,33272,49978,55024,21386,10156,17010,19517,30803,51250
Guadalupe,nm,18338,15882,17422,18243,37361,88750,20909,20714,25341,18986,11875,105395,15029,11613,13676,16518,55000,84792
Harding,nm,23942,5000,25313,16635,37500,19861,30000,4583,30781,31250,31250,85625,14861,25417,14375,5156,41250,19444
Hidalgo,nm,26870,13152,27461,26985,32303,52500,35658,19375,39075,35658,31293,71667,20294,11367,17409,21734,43413,46875
Lea,nm,34083,28054,27687,35306,45305,54172,45070,33404,45072,48983,53239,66250,22821,15000,15718,24280,34417,50096
Lincoln,nm,26052,15831,25108,25686,45488,54107,31563,17317,32972,30889,52206,53158,21557,9483,16386,21592,31563,55223
Los Alamos,nm,64441,20833,41433,44683,55911,107238,88403,26500,58750,54787,87342,120330,41102,14375,30625,32560,36583,65236
Luna,nm,18501,11877,18262,21557,34929,43463,24288,14944,29293,29795,43077,44025,15506,10954,14085,18333,31618,34904
McKinley,nm,23963,16824,19954,25842,43207,58791,26995,18890,25189,27744,54583,67244,21061,15345,18115,24025,36731,53062
Mora,nm,26040,4683,33086,18398,12356,53049,19632,4982,30388,14063,10433,24625,34054,2499,33564,25250,35865,55906
Otero,nm,26054,14331,21917,26400,39704,57888,30594,19448,26881,31734,42250,79038,21367,9656,18608,21279,37138,49167
Quay,nm,25693,17656,21857,26847,41516,68077,30587,17500,26750,41364,41161,78000,21098,17721,18794,20165,41622,53438
Rio Arriba,nm,29650,18780,27114,30631,45528,52851,32318,22145,30796,37606,50600,69808,27432,15790,23798,26964,42976,48824
Roosevelt,nm,28315,18076,26637,28962,34216,47500,33183,24601,30439,38649,43197,31438,21493,13377,20943,19320,30426,52813
Sandoval,nm,36570,20423,30337,36526,46649,57115,43949,24223,34211,44808,64309,75045,31455,15189,25972,31196,36846,49898
San Juan,nm,33047,25518,29552,33098,45418,57428,41973,30019,35777,46701,52046,68636,26260,15561,22309,25986,39071,52484
San Miguel,nm,25719,13725,21929,25269,37766,53603,28402,15722,25046,31202,37569,67031,23738,10944,18947,23156,37865,41563
Santa Fe,nm,31677,18349,24972,31315,41744,55151,34768,20526,26397,35517,48659,71450,29305,14652,22628,27584,38081,46955
Sierra,nm,25584,6761,21525,25704,36475,12045,28250,7184,27361,32931,44714,2499,19813,4514,12247,17983,35707,53558
Socorro,nm,25021,12948,23849,21842,33173,53923,30506,13167,27422,30633,38819,68828,21258,12539,19369,20537,29063,50529
Taos,nm,25065,19324,20612,23724,30885,41789,27102,25536,24547,26837,32280,42319,21631,12730,14595,22089,30409,41181
Torrance,nm,26387,15575,26446,25981,44708,49440,31625,21141,30752,40000,44297,52222,17345,11184,15179,16164,45179,48750
Union,nm,24167,18750,21522,24097,45694,42222,26455,25774,22264,27321,48750,92692,17275,15989,17560,18036,31250,35714
Valencia,nm,31528,20814,28127,31616,41726,54977,36996,24882,34661,40070,54929,69375,26391,14583,22972,26175,35502,52117
Albany,ny,42102,20335,30297,38291,52522,64622,47714,24769,35972,43170,59054,76479,37118,15920,25762,34634,46262,57985
Allegany,ny,30221,16042,25204,30913,38573,50578,36365,20729,33363,39139,48549,59342,22899,7569,15843,25734,32154,46305
Bronx,ny,30204,18467,25625,33768,42574,60780,31606,21381,28576,38477,44627,62574,28014,14839,22053,30950,41603,59952
Broome,ny,32327,18682,25732,31174,43654,54998,38521,22642,30794,37657,57124,73141,27060,15360,21196,26418,35165,50478
Cattaraugus,ny,29435,19184,24443,30175,39934,51550,35686,23067,31757,37181,52051,58203,23942,13476,18771,25462,30829,49002
Cayuga,ny,34020,20370,30459,35323,42778,54090,40689,25692,34540,45365,54485,61607,29052,16103,23331,28631,35831,50110
Chautauqua,ny,30504,17441,25781,29910,39033,52369,36382,20771,31790,38756,44956,61318,25265,12037,19676,24821,32746,47313
Chemung,ny,33689,16072,27185,33622,48488,56921,41254,18173,33108,44521,59207,68468,28496,13996,22443,27931,42118,53548
Chenango,ny,30482,21795,27519,29951,42009,49395,36265,24552,34880,35813,57356,60521,25776,13372,21137,26657,32440,45500
Clinton,ny,34524,17565,29741,34918,41921,59521,40493,24545,35569,44938,48942,68889,30435,12522,22782,30859,37058,56351
Columbia,ny,35310,25301,27350,34586,49112,60532,41257,26468,33933,43365,60295,66538,29835,22370,22432,27462,43750,55640
Cortland,ny,33085,20210,28415,31892,44665,54810,38306,19009,34046,38778,51518,59071,29778,21955,22212,29215,37385,52970
Delaware,ny,29004,18154,26174,29823,39649,44594,33850,19500,33069,33544,49087,53333,23580,16589,19416,25811,32254,43019
Dutchess,ny,43464,21517,33130,39520,56385,74447,52846,26100,42873,50448,72235,95179,34448,15418,25498,32672,42446,64207
Erie,ny,36610,16902,28476,34086,46786,56866,43969,20894,35072,42505,56465,70688,30893,13774,23296,29570,37641,50859
Essex,ny,31557,21375,25447,31079,39639,53989,35367,22234,28603,38552,43488,55769,27516,18125,22172,24876,35308,52975
Franklin,ny,31479,19004,26201,32490,45148,51784,34336,19885,27518,42030,52745,56310,28976,14519,23986,27199,36004,49416
Fulton,ny,30593,19293,28432,31653,43793,51577,35754,26034,36529,35871,52773,49095,26140,14801,21598,28333,31445,52384
Genesee,ny,33681,21756,30396,32265,40811,50986,40599,26048,37656,40808,48540,57552,26862,8688,21040,26825,32018,47562
Greene,ny,32268,16585,29571,33791,44470,58310,37688,23521,32026,43272,53093,69375,28605,11618,24607,27001,39818,54708
Hamilton,ny,32500,19844,27250,30785,48750,55096,35473,21591,32656,33571,55417,54375,30035,13375,23309,28563,39750,55313
Herkimer,ny,31703,23481,26837,31015,41339,50213,36998,29139,33268,38618,52617,54940,26500,13910,20756,26094,36186,47237
Jefferson,ny,32542,16513,26878,34530,42833,54634,40070,20852,34244,43012,53612,65398,25298,12073,18306,26151,31798,50973
Kings,ny,35721,19317,28082,35785,50946,64406,37844,21519,31518,39622,53704,70569,33532,16367,24670,32793,47652,61265
Lewis,ny,31639,22021,28525,31549,42708,51326,39809,32575,38653,39780,43698,52321,22913,10592,18701,25874,41438,50592
Livingston,ny,34805,22377,30146,32819,45847,53650,41931,29718,36480,43377,54185,66591,28429,13646,20326,27937,40659,50998
Madison,ny,34520,20076,28133,34455,42822,58659,40240,31136,33964,40580,52694,74904,28542,14459,21581,30087,36225,50547
Monroe,ny,37535,19724,27997,33757,47390,58405,44193,21098,33135,41139,56463,74164,31597,17671,23172,28651,39428,52079
Montgomery,ny,31852,19353,29204,32235,45862,56931,35993,25375,32884,40229,54375,70938,28650,12568,22383,29145,41594,54668
Nassau,ny,51708,22140,36267,46010,64499,81979,62698,26998,45099,58014,79638,103277,41918,16696,28630,37636,51669,69707
New York,ny,54769,16858,25436,36187,67646,86080,62697,19027,27316,40796,78823,106206,50668,14220,22073,33034,59822,71750
Niagara,ny,33881,18228,28599,33151,46871,56306,41286,21766,36076,41720,55804,65235,27963,12890,21840,28239,36402,50558
Oneida,ny,33971,17542,26912,34353,45668,59231,38810,20908,31306,40866,55324,72539,29944,14947,22086,29879,40496,53243
Onondaga,ny,38232,19596,29895,35293,49970,60075,45138,22207,35051,42178,60271,71000,32366,16452,24383,31192,39182,54597
Ontario,ny,36317,19992,27514,33223,46932,56105,43453,22114,35377,41886,61063,82292,28993,18494,21429,26816,37025,50837
Orange,ny,43504,22176,32831,42630,60031,73033,52164,26840,40459,54179,73630,86426,35638,17542,25489,33816,47735,66545
Orleans,ny,30807,21327,28522,31417,38405,55434,38134,23706,36017,39664,48862,62031,25481,15497,24045,25426,29167,50625
Oswego,ny,32358,22467,28948,32662,45072,57624,40310,29939,35885,43603,56625,61711,26250,17360,21310,27314,36699,55569
Otsego,ny,30506,14713,22893,31163,34962,56825,33857,20336,27679,34757,43045,63684,26367,9840,19371,27520,31593,54100
Putnam,ny,52811,25562,39977,44143,64532,82994,64672,35088,51439,55762,86746,103047,42744,18125,30294,34494,51212,70888
Queens,ny,36482,21140,28904,37966,49478,63798,39108,24479,31985,42238,51988,66761,33841,16689,25188,33770,46741,61758
Rensselaer,ny,40140,19385,31397,39378,51292,60476,45896,22979,36643,47251,60660,73073,34628,15949,26639,34599,43446,54802
Richmond,ny,48722,25357,36908,47353,60285,70977,55920,29122,47000,59307,68952,81220,40479,19147,26917,37124,52980,65883
Rockland,ny,48209,20577,31717,43424,63275,78985,54667,25002,39183,51881,76207,100041,40639,15616,24658,36041,53502,65327
St. Lawrence,ny,31492,17309,25169,32105,41833,54846,37612,20428,32342,37928,46368,66392,26014,10341,18404,27173,36604,49429
Saratoga,ny,43728,22374,31910,38781,56225,64972,53071,30521,40537,47989,72251,87506,34382,16754,25315,31516,42040,55466
Schenectady,ny,38012,20193,28645,36050,48144,65207,44328,22211,35298,42517,58486,76546,32064,15111,23521,30817,41762,57692
Schoharie,ny,33428,21431,29287,33542,43250,56010,40010,24500,34978,43384,56989,67143,29308,20026,22880,30451,34079,50293
Schuyler,ny,32222,21635,28534,34184,35313,54237,40407,25043,34212,45202,43030,54506,25909,16563,21776,26706,27656,53897
Seneca,ny,32194,25781,27773,32473,42188,48914,38049,29732,33639,40132,51607,61083,28230,16442,21429,28400,34601,46709
Steuben,ny,33323,21465,28892,31774,46399,59022,39801,23828,35327,38894,55266,80966,27317,15750,21441,27157,36935,50993
Suffolk,ny,47715,23171,36214,46024,62970,80687,58039,28964,44987,59374,78323,96870,38035,18465,28632,36581,49722,69169
Sullivan,ny,32415,19615,28539,32697,43770,61564,38798,26211,34394,41664,46604,63964,28593,16775,24406,28688,38558,59107
Tioga,ny,32464,25800,26741,31191,51471,54227,40326,27464,34123,40122,56471,68750,26666,16887,21297,26969,43351,48340
Tompkins,ny,37208,20494,30912,33378,38411,53056,42524,22316,34957,38438,47328,62004,32138,13371,25100,29809,32185,46919
Ulster,ny,37888,21209,30479,36067,45526,61686,45171,25976,38853,47064,54673,66222,31170,13270,22727,30330,37128,58624
Warren,ny,34228,19808,28451,34681,44563,57457,42953,27797,36578,44469,52229,69023,27171,14482,22263,28144,33219,53102
Washington,ny,30990,20795,29325,31483,36960,51098,38115,25296,37057,41025,42958,56755,25336,14453,22907,26012,31799,49220
Wayne,ny,33967,22754,28056,35256,49650,52102,41117,24758,33926,44592,65060,62331,27764,19352,22287,27693,40987,46765
Westchester,ny,50740,21014,31864,41933,64799,93972,59615,25021,37146,50970,82093,125560,42470,15635,26339,36409,52668,73631
Wyoming,ny,33155,20182,30185,34362,40336,48774,39657,26213,36904,42321,46447,56815,27095,12089,20856,28351,32813,46553
Yates,ny,31043,30372,26213,30000,40739,53348,35371,31036,32587,35298,44821,57500,25539,13900,20353,24786,37868,51205
Alamance,nc,30717,17931,26368,31884,44819,57346,34873,21947,30479,37243,52843,59375,26909,13363,21957,28687,38682,56115
Alexander,nc,28560,22378,25543,30664,33353,55343,31591,23750,30260,36335,51519,64722,24602,18032,22224,28079,27622,48875
Alleghany,nc,23003,12577,17817,25448,36173,60917,24180,14470,17521,29397,37077,57500,22020,9688,20000,22308,33042,60917
Anson,nc,26259,13595,25975,28009,41682,48813,30883,16955,30268,41917,46894,47300,22102,11217,20899,22869,38491,48938
Ashe,nc,24506,15417,20688,26137,34229,52667,27316,16953,23976,31382,34574,66964,21668,12733,18415,21696,33606,49356
Avery,nc,24422,15972,18849,27055,35654,39013,26050,19550,24397,29932,36667,42950,21649,9091,15503,24851,34602,33833
Beaufort,nc,28121,15999,25710,29345,37721,48184,35197,18880,36399,38438,53500,50714,22026,13958,16209,25021,32990,44185
Bertie,nc,26827,16821,23489,28072,43229,54125,28547,16813,27157,32197,61750,38750,24324,16875,20718,24315,38228,56420
Bladen,nc,26619,18677,25093,27494,38134,60500,31821,20977,30900,36920,36591,57500,22143,14895,21744,21419,38672,61667
Brunswick,nc,27663,19677,21987,28443,38101,46818,32126,25461,26332,37715,46221,58955,22691,10902,18077,22564,34104,42054
Buncombe,nc,29250,16215,24080,27662,35379,49485,32011,20006,27737,31674,42067,62112,26292,13338,20912,25625,31078,44473
Burke,nc,27014,17471,24124,28275,41828,52725,29283,19071,27028,32430,48918,54790,25361,15706,19876,25880,38192,50318
Cabarrus,nc,35695,19820,27822,35104,49661,61204,41955,22493,32704,44302,63479,81145,30418,14107,22024,28501,41119,52605
Caldwell,nc,27179,17619,26027,27794,41926,53750,30364,20814,29096,34271,46992,62201,23979,12277,21081,24876,39460,49375
Camden,nc,37492,17917,33136,37310,41152,81813,49813,30761,45833,55921,44735,82375,32028,16593,26800,33184,40302,59250
Carteret,nc,28374,16571,23644,27875,41276,57045,32908,20417,27416,33689,51556,66937,23933,11604,17406,21742,37101,52689
Caswell,nc,25542,20449,21962,27134,41210,51207,27247,22223,23931,31976,36375,44375,22414,15645,20757,22367,41935,52357
Catawba,nc,30455,20509,25797,30887,42606,56005,34436,23212,29136,37410,50393,74961,26231,16418,22502,26156,37500,50981
Chatham,nc,32179,16666,25108,32182,50725,59511,37190,16995,30045,37430,62065,88617,26976,15084,19779,27355,38441,52254
Cherokee,nc,25007,20940,22817,25276,27000,52308,30076,21671,31193,26838,31500,85266,20947,12361,17520,22420,22179,33459
Chowan,nc,25062,14783,22247,25571,35640,43964,26725,14644,28663,27018,37074,57540,22677,15208,18265,22975,33288,36742
Clay,nc,27186,18608,24967,19234,46364,42045,30106,20500,27734,30245,57865,44830,25114,12141,20000,15495,45568,39882
Cleveland,nc,28316,18047,25910,27971,40768,46149,34066,20130,32358,36084,46429,53750,22482,14444,20373,23373,38329,45152
Columbus,nc,27280,15604,23196,27595,43445,49732,30553,17328,29179,33667,42284,51705,22496,13136,16915,24093,43575,48393
Craven,nc,30527,15014,25808,30123,45244,54146,37601,20341,29782,39592,58120,87443,24289,11581,20642,22440,38093,45296
Cumberland,nc,32590,15513,26324,32049,43641,60561,40349,19693,31196,40744,54419,77794,26208,13608,19645,25118,36632,50448
Currituck,nc,31731,22091,28685,32396,45950,50764,37044,26026,32362,43539,50893,67431,26135,11250,23663,25845,43797,42778
Dare,nc,32592,20152,29729,32969,38234,44910,38173,26843,34919,38971,41469,62153,26475,11026,16791,28616,33185,39461
Davidson,nc,31374,19926,27747,32442,44328,55348,35777,25009,32033,40547,54212,67045,26665,14225,22018,27328,38800,47792
Davie,nc,32579,18570,27060,35391,49300,51522,38016,19333,31002,40796,71583,58571,29280,16397,24468,30782,38073,44500
Duplin,nc,24299,17944,25195,24329,38103,43221,26624,19000,27835,30736,43534,52927,21213,15109,19138,20886,36973,37727
Durham,nc,36089,16390,25265,31780,43697,56688,38364,17422,27122,35716,49178,67303,34460,13207,22381,28849,40632,50639
Edgecombe,nc,26467,16830,25526,26744,40706,53672,30048,20150,29078,31391,50096,56250,23955,14844,22351,24689,37560,53045
Forsyth,nc,32475,16808,25936,31121,45873,58884,38284,18594,29054,37973,55214,77037,29450,13937,22021,27203,40307,49791
Franklin,nc,30942,21018,27897,32165,49954,48642,33949,26851,29149,41681,67731,49197,27924,13475,25618,26850,44990,47701
Gaston,nc,31283,18448,26586,32037,47727,53674,36163,21886,30400,41308,56576,60603,26274,15415,22083,25478,39931,49903
Gates,nc,32288,16103,30784,34013,42089,44767,40347,28269,33536,44085,49118,59145,25938,7667,18345,25957,40250,44041
Graham,nc,26902,26310,24681,26295,42209,42813,28784,28234,26350,30972,40865,42969,25321,25411,20378,22639,50292,42375
Granville,nc,33128,21598,29164,36492,44686,46691,35623,23614,31425,43787,52147,53073,31317,17396,25700,32052,41288,44814
Greene,nc,26093,17564,26238,26645,40147,56141,27107,17925,30113,28206,51875,66793,25311,16221,23452,25865,36736,46250
Guilford,nc,32466,18069,25649,30308,43559,57674,37623,20274,28751,35921,54744,75812,29396,14082,22934,26771,36951,50904
Halifax,nc,27359,18000,25136,27224,38822,48775,31947,22363,30818,32246,48239,53971,23598,13514,20646,23771,35289,45852
Harnett,nc,31358,19434,26199,32432,42123,54768,39045,21220,31224,43354,57011,71429,25075,16692,21303,24521,34744,46192
Haywood,nc,30879,23031,26790,30026,41832,49851,34551,24280,32829,35311,52377,52520,26603,15530,21333,26099,38717,47902
Henderson,nc,29888,17061,25444,29402,42140,50083,32411,18827,27410,34368,47250,57847,25856,14594,21759,22849,38191,46140
Hertford,nc,26869,17203,25480,26785,38468,46250,30910,17564,31240,36765,39063,54196,23107,15074,18156,21813,38261,42106
Hoke,nc,29313,16867,24609,30639,42265,54271,36818,17938,30762,43900,51852,59776,23639,13708,17422,21665,38015,52722
Hyde,nc,23438,6458,21310,26719,37448,NA,32472,7292,31250,41875,44792,NA,21607,2499,18785,21206,36302,NA
Iredell,nc,32259,20604,27502,32081,49532,61243,42040,23824,32963,44232,67091,89940,26079,16617,22121,25650,35878,44536
Jackson,nc,27661,15714,23817,26199,35195,51802,31054,17035,27874,29130,37473,54337,24230,13231,17464,22407,31572,50633
Johnston,nc,34058,16215,29860,35348,44816,58257,39083,18111,34785,42235,59705,71960,30385,10598,22061,29886,41193,52531
Jones,nc,27015,16493,26427,30316,36932,44464,30491,16549,31019,33721,47778,44643,23425,14925,17853,26763,35341,42386
Lee,nc,28990,17746,25712,31535,46209,56481,32836,18939,27497,42541,62641,62414,24066,15625,21619,24762,36629,53750
Lenoir,nc,26762,15071,24307,28025,44973,57450,30597,17615,27340,36076,50625,76528,23156,10202,19439,23503,41616,53444
