Year,Month,Temp
1855,4,8.022
1855,5,14.373
1855,6,18.627
1855,7,22.712
1855,8,20.022
1855,9,-0.458
1855,10,9.844
1855,11,5.211
1855,12,-0.636
1856,1,-7.622
1856,2,-5.897
1856,3,-1.925
1856,4,9.125
1856,5,13.322
1856,6,20.571
1856,7,23.301
1856,8,19.74
1856,9,-0.537
1856,10,9.693
1856,11,4.107
1856,12,-3.028
1857,1,-9.162
1857,2,0.861
1857,3,0.717
1857,4,5.189
1857,5,13.299
1857,6,18.173
1857,7,21.797
1857,8,20.498
1857,9,-1.224
1857,10,9.579
1857,11,3.837
1857,12,1.041
1858,1,0.336
1858,2,-5.011
1858,3,1.223
1858,4,8.166
1858,5,12.645
1858,6,21.027
1858,7,22.095
1858,8,20.228
1858,9,-1.277
1858,10,11.454
1858,11,2.194
1858,12,-1.068
1859,1,-2.83
1859,2,-0.707
1859,3,5.327
1859,4,7.401
1859,5,15.431
1859,6,18.037
1859,7,21.121
1859,8,20.396
1859,9,-2.182
1859,10,8.481
1859,11,5.322
1859,12,-3.338
1860,1,-2.43
1860,2,-2.914
1860,3,3.999
1860,4,7.568
1860,5,15.178
1860,6,19.09
1860,7,21.274
1860,8,20.992
1860,9,-2.185
1860,10,10.346
1860,11,5.02
1860,12,-3.303
1861,1,-4.296
1861,2,0.023
1861,3,2.059
1861,4,8.676
1861,5,12.61
1861,6,19.752
1861,7,21.603
1861,8,20.322
1861,9,-0.377
1861,10,12.23
1861,11,3.876
1861,12,-0.45
1862,1,-3.489
1862,2,-3.157
1862,3,1.08
1862,4,7.418
1862,5,14.567
1862,6,17.847
1862,7,21.078
1862,8,21.383
1862,9,-0.553
1862,10,11.344
1862,11,4.038
1862,12,-1.168
1863,1,-1.131
1863,2,-2.471
1863,3,-0.98
1863,4,7.637
1863,5,15.293
1863,6,17.979
1863,7,22.359
1863,8,22.709
1863,9,-2.729
1863,10,9.647
1863,11,5.277
1863,12,-2.112
1864,1,-3.107
1864,2,-1.321
1864,3,1.577
1864,4,7.024
1864,5,15.902
1864,6,19.319
1864,7,22.217
1864,8,22.297
1864,9,-2.294
1864,10,9.216
1864,11,4.361
1864,12,-1.299
1865,1,-6.48
1865,2,-3.153
1865,3,4.881
1865,4,9.6
1865,5,14.532
1865,6,21.632
1865,7,21.536
1865,8,20.448
1865,9,1.574
1865,10,9.368
1865,11,4.562
1865,12,-0.42
1866,1,-4.809
1866,2,-2.487
1866,3,0.77
1866,4,9.617
1866,5,12.982
1866,6,19.502
1866,7,23.508
1866,8,18.373
1866,9,-0.626
1866,10,10.609
1866,11,5.031
1866,12,-2.647
1867,1,-6.979
1867,2,0.556
1867,3,0.147
1867,4,8.4
1867,5,12.157
1867,6,19.543
1867,7,21.073
1867,8,20.925
1867,9,-1.128
1867,10,10.6
1867,11,4.535
1867,12,-4.386
1868,1,-5.616
1868,2,-7.239
1868,3,1.506
1868,4,5.77
1868,5,12.304
1868,6,18.83
1868,7,24.221
1868,8,21.58
1868,9,-1.348
1868,10,8.367
1868,11,3.62
1868,12,-4.188
1869,1,-1.385
1869,2,-0.867
