Curriculum:,Spring,2015,as of,2/2/2015 21:45,,,,,,,,
Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
CS251 L,A,,M, 1:00pm- 2:20pm,Lab: Data Analysis/Vis,, ,DAVI 102,20,20, ,Maxwell    
CS251 L,B,,T, 2:30pm- 3:50pm,Lab: Data Analysis/Vis,, ,DAVI 102,17,20, ,Maxwell    
CS321,A,4,TR, 1:00pm- 2:15pm,Computer Networks and Security,, ,LOVE 213,20,16,4,Siff       
CS451,A,4,TR, 9:30am-10:45am,Advanced Computer Graphics,, ,DAVI 117,9,20,7,Maxwell    
CS451,B,4,TR,11:00am-12:15pm,Advanced Computer Graphics,, ,DAVI 117,13,20,7,Maxwell    
EA120,A,4,TR,11:00am-12:15pm,Made in China (See HI120),"H,W1", , ,0, , ,LaCouture  
EA150,A,4,TR, 2:30pm- 3:45pm,Foundations in East Asian Studies,H,I ,LOVE 203,19,20,0,LaCouture  
EA253,A,4,MW, 2:30pm- 3:45pm,Three Kingdoms in Chinese Literature,L, ,LOVE 208,14,18,0,Besio      
EA256,A,4,TR, 2:30pm- 3:45pm,Conflict in East Asia (See GO256),S, , ,0, , ,Hatch      
EA274,A,4,MWF, 1:00pm- 1:50pm,"Survey of East Asian Art, 1300 to the Present (See AR274)",A, , ,0, , ,Weitz      
EA276,A,4,TR,11:00am-12:15pm,Zen and the Arts in Asia (See AR276),A, , ,0, , ,Weitz      
EA278,A,4,MW, 1:00pm- 2:15pm,Language and Gender,S,I ,LOVE 202,20,20,2,Abe        
EA353,A,4,M, 7:00pm- 9:30pm,Globalization and Human Rights in China,S, ,LOVE 319,18,15,9,Zhang      
EC121,A,4,TR,11:00am-12:15pm,Financial Accounting,, ,DIAM 122,50,35,7,Downs      
EC133,A,4,TR, 8:00am- 9:15am,Principles of Microeconomics,S, ,DAVI 301,24,35,11,Goff       
EC133,A,4,W, 2:00pm- 2:50pm,Principles of Microeconomics,S, ,OLIN 001,24,35,11,Goff       
EC133,B,4,TR, 9:30am-10:45am,Principles of Microeconomics,S, ,DAVI 301,34,35,11,Goff       
EC133,B,4,W, 2:00pm- 2:50pm,Principles of Microeconomics,S, ,OLIN 001,34,35,11,Goff       
EC133,C,4,TR, 2:30pm- 3:45pm,Principles of Microeconomics,S, ,DIAM 141,35,35,11,Franko     
EC133,C,4,W, 3:00pm- 3:50pm,Principles of Microeconomics,S, ,DIAM 122,35,35,11,Franko     
EC134,A,4,MWF, 9:00am- 9:50am,Principles of Macroeconomics,S, ,LOVE 205,35,35,11,Siodla     
EC134,A,4,W, 3:00pm- 3:50pm,Principles of Macroeconomics,S, ,OLIN 001,35,35,11,Siodla     
EC134,B,4,MWF,10:00am-10:50am,Principles of Macroeconomics,S, ,LOVE 205,34,35,11,Siodla     
EC134,B,4,W, 3:00pm- 3:50pm,Principles of Macroeconomics,S, ,OLIN 001,34,35,11,Siodla     
EC134,C,4,TR, 9:30am-10:45am,Principles of Macroeconomics,S, ,LOVE 208,37,35,11,Trostel    
EC134,C,4,W, 2:00pm- 2:50pm,Principles of Macroeconomics,S, ,DIAM 142,37,35,11,Trostel    
EC134,D,4,TR, 1:00pm- 2:15pm,Principles of Macroeconomics,S, ,DIAM 153,37,35,11,Trostel    
EC134,D,4,W, 2:00pm- 2:50pm,Principles of Macroeconomics,S, ,DIAM 142,37,35,11,Trostel    
EC212,A,4,TR, 9:30am-10:45am,Corporate Finance II,, ,DIAM 344,21,20,6,Wolk       
EC212,B,4,TR, 1:00pm- 2:15pm,Corporate Finance II,, ,DIAM 342,22,20,6,Wolk       
EC214,A,4,TR,11:00am-12:15pm,Economic Policy and Performance in Contemporary Latin America,W2,I ,DIAM 343,20,20,7,Franko     
EC221,A,4,TR,11:00am-12:15pm,Managerial Economics,, ,DIAM 153,30,30,7,Chan       
EC223,A,4,MWF,10:00am-10:50am,Microeconomic Theory,, ,DIAM 145,33,30,12,Gunter     
EC223,A,4,R, 3:00pm- 3:50pm,Microeconomic Theory,, ,LOVE 100,33,30,12,Gunter     
EC224,A,4,MWF,11:00am-11:50am,Macroeconomic Theory,, ,DIAM 145,33,30,5,Findlay    
EC224,A,4,M, 3:00pm- 4:00pm,Macroeconomic Theory,, ,DIAM 122,33,30,5,Findlay    
EC224,B,4,MWF,12:00n -12:50pm,Macroeconomic Theory,, ,DIAM 145,31,30,5,Findlay    
EC224,B,4,M, 3:00pm- 4:00pm,Macroeconomic Theory,, ,DIAM 122,31,30,5,Findlay    
EC231,A,4,MWF, 9:00am- 9:50am,Environmental and Natural Resource Economics,, ,DIAM 153,34,30,14,Dissanayak 
EC231,B,4,MWF,10:00am-10:50am,Environmental and Natural Resource Economics,, ,DIAM 153,33,30,14,Dissanayak 
EC235,A,4,TR, 9:30am-10:45am,Organizational Strategy and Economics,, ,DIAM 153,30,30,8,Downs      
EC278,A,4,TR, 9:30am-10:45am,Joules to Dollars,N, ,OLIN 001,17,32,8,Donihue    King        
EC278,A,4,F, 1:00pm- 4:00pm,Joules to Dollars,N, ,KEYE 403,17,32,8,Donihue    King        
EC293,A,4,TR, 9:30am-10:45am,Research Methods and Statistics for Economics,, ,DIAM 145,30,30,9,Waldkirch  
EC293,B,4,TR,11:00am-12:15pm,Research Methods and Statistics for Economics,, ,DIAM 145,30,30,9,Waldkirch  
EC298,A,4,TR, 2:30pm- 3:45pm,Disaster Economics,, ,DIAM 341,21,20,3,duPont     
EC351,A,4,MW,11:00am-12:15pm,Public Finance,W2, ,DIAM 341,20,20,1,Gunter     
EC373,A,4,TR, 9:30am-10:45am,Open-Economy Macroeconomics,, ,DIAM 341,20,20,8,duPont     
